Ticket Number,Agent,Priority,Subject,Tags,Conversation Summary
6284,101021676705.0,2,Change Account Owner Email Address,"Cintoo Cloud, Account","Thomas Corvazier Salomon Mayengue Request fir change owner email address  | Hi Nicholas,    The email has been updated to  drew.seward@sam.biz     Best regards,     Salomon May | Salomon Mayengue Thank you!"
6283,101093299571.0,2,RE: Constat QC images panoramiques et Rapports,,"Bonjour Leonardo et l'équipe du support Cintoo,

Je te remercie pour ta réponse.

Pour apporter  | Bonjour  Malek & Simon,     j'ai fait quelques ""spot check"" d'export.  vous trouverez les fichiers E | @Omar, FYI. Any news on this? | Leonardo Hidd Fonteles João-Carlos Pereira Fialho:     I did some tests.      Test file: A e57 file  | Bonjour Leonardo et Joao,



Nous travaillons actuellement avec les données scans d’AKPO disponi | Bonjour Malek,   Voici à quoi correspond chacune des dates:    createdAt: Date de prise du scan, tel"
6282,101021676703.0,2,Ivion import error,"Cintoo Connect, Import Unstructured Scans","Hi Christian,    It says that there's no images on the E57 file exported from Ivio​n, do you confirm | @Omar, if the E57 file from IVION don't have any image, do we process it or we return an error? | I saw that . is it possible there are not enough images?


Christian Luchun // AIA, LEED® AP BD + | Leonardo Hidd Fonteles Customer needs to confirm if the option to embed panos in the e57 was used du | [cid:image001.png@01DA962D.13E991E0]

These are 3 data sets processed and downloaded with panos
 | Thanks Christian, I see that panorama embedding is set as Yes, which is good. Any change you could s | Thanks Nick, he did check Yes for the embedded images, either we don't read it right or there's a pr | Nicholas Czarnick can the customer send us the e57 file to check. I think the minimum images embedde | Leonardo Hidd Fonteles João-Carlos Pereira Fialho I will take over this one when the customer respon | Alright, thanks Nick | Waiting on the file to sync up to one drive send it your way when done



Christian Luchun // AI | Hi Christian,    Leo has looped me in on your inquiry. Is the e57 being exported from the Crop and D | Yes crop and download is used – shall I not? I will try without



Christian Luchun // AIA, LEED | Hi Christian,    Crop and Download is the recommended export method. As long as the crop view contai | It looks like I cropped a pano, which caused it to fail.

Re-did and it seems to like


Christi | Hi Christian,      Sounds good, any other issues uploading to Cintoo please feel free to contact me "
6281,101053189816.0,2,Backups,,"Nicholas Czarnick I know in Cloud Compare you can do this but I don't belive this is possible in Cin | Hi Bob,    Let me check this for you       John Tapia  Technical Support Manager  www.cintoo.com | John Tapia There is no way to undo an alignment in Cintoo. Check with DevOps/SRE team if they can un | Hi Bob,    For the alignment there is no way to do a backup if you need to restore please let me kno | Project =  Bell River - Pipe Bridge
Backup Date = 04.23.2024


I wish there was a way to 'undo'  | Thomas Corvazier Salomon Mayengue Customer would like a backup restore from an alignment he did. | If you are able to do a backup, please don't overwrite the existing project.

Regards,
Bob Squier | Thomas Corvazier FYI | [cid:0dca4451-5018-4db8-8bcb-a8cfaaa0d056]
So, the date doesn't change when you do an alignment to  | Hi Bob,    Yes that is correct this does not change        John Tapia  Technical Support Manager  ww | But it's literally the 'updated' column.   I think this should be adjusted any time a scan is move,  | Hi Bob,    I will note that to the team as they investigate        John Tapia  Technical Support Man | Olivier Beltrando  do you have any ideas if we can do a backup? thanks"
6279,101102656450.0,2,New reseller order - Energie 360° AG via MuM CH - 3500 scans CSD only,,"Great to see that our partnership with Man & Machine works! Congratulations!

Dominique Pouliquen | Hi Daniel,  Hi Petra,     Invoice sent.  Follow up sales updated.  Energie 360° AG still needs to up | I am checking back on this ticket to see if there has been any update on the ticket  | Hi John,     Orion is updated :    Best regards,  Cécile"
6278,101053189816.0,2,Mini Map Links for Mad Dog project are broken,"Cintoo Cloud, Site Map, Navigation Map, VIEWER-1229","Hi Surya,    Too verify are other users who have access to the project experiencing the same issue?  | Hi John,

Yes, they're facing the issue as well.

Best Regards,
Surya Teja Ayitha.

 | Hi Surya,    Would you be able to provide me access to the project john.tapia@cintoo.com       John  | Hi John,

I'm afraid I can't. Instead, Can we please meet tomorrow along with user to triage the i | Hi Surya,    Sure I can send you an invite and I can have one of my colleagues join on the call and  | Hi Surya,    What time is available I am on PST time so I am after 11 am or if you are available tod | Hi John,

I've sent a teams invite on 11 AM PST. Please let me know if you can find invite & hope  | ++ john.tapia@cintoo.com<mailto:john.tapia@cintoo.com>

 | Nicholas Czarnick I would like to know if you are available for this call  | John Tapia Yes, I'm available. Please forward me the Teams meeting invite | Martial Marchesseau Another ticket related to ticket 6181. Jira Ticket Viewer-1229 | Hi Surya,    Based on our call, the workaround, for now, is to switch the navigation map mode to ""Sc | Jira issue status changed to QA Validation -(Guillaume Hercod) added this comment | Jira issue status changed to To be Integrated -(Claire Onidi) added this comment | Jira issue status changed to In Dev -(Automation for Jira) added this comment | Jira issue status changed to Validated -(Claire Onidi) added this comment | Jira issue status changed to Closed -(Cintoo Bot) added this comment | Hi Surya,  
   
   
   We have just deployed the fix, would you be able to double check and let us k | Hi @Leonardo Hidd Fonteles<mailto:support@cintoo.com>,

Thanks for the communication!

We'll tes | Hi Surya,    Good Day I am checking back on fix to see if the issue has been resolved        John Ta | Hi John,

Yes, the issue is resolved. Many thanks for the support.

Regards,
Surya Teja.

"
6277,101102656450.0,2,FW: CINTOO - CAC2404MRS00032,,"Hi Simon,     Invoice sent.  Orion updated, see below :    Follow up sales updated too.  Kind regard"
6275,101053189816.0,2,Re: Cintoo Hidden Elements Feature,"Cintoo Cloud, Annotations, 3D Model","Similar request as ticket 5154  https://help.cintoo.com/a/tickets/5154 | See CP-71  https://cintoo.atlassian.net/jira/polaris/projects/CP/ideas/view/3133828?selectedIssue=CP | Omar Zerhouni Feature Request | John Tapia I created the discovery ticket     João-Carlos Pereira Fialho I would argue that CP-71 is | Omar Zerhouni Hi Omar, noted. However the ideas should be kept linked, as CP71 is for saving view st | Omar Zerhouni Should we keep this open since this is a feature request "
6274,101037953612.0,2,New customer order Amberg Infra 7D AG: 500 scans CSD+BCM,Billing,"Hi Petra,     Invoice sent.  Orion updated :    Follow up sales updated too.  Kind regards,  Cécile"
6273,101026576803.0,2,TR: [INC11262306] Nom de domaine non conforme,Cintoo Cloud,"Leonardo Hidd Fonteles Cyril Deguet This ticket opens again the question from totalEnergies to chang | Thomas Corvazier FYI, up to you to assess the impact | João-Carlos Pereira Fialho the impact on Cintoo is to generate a new ceriticate for cintoo.totalener | I am checking to see if there has been any communication with the customer based on Thomas comments  | Hi All,  the subject of Domain Name is running now for monthes. To solve this ASAP, my proposal is t | Joao, you last reply wasn't delivered. Please can you retry?  EDIT: sorry - not delivered to only 1 "
6272,101021676708.0,2,TR: Problème d'accès aux APIs (TotalEnergies),Cintoo API,"Hi Malek,    ​Pouvez-vous me confirmer que vous avez suivi les étapes décrites dans la documentation | Bonjour Ange,



Je vous confirme avoir suivi les étapes décrites dans la doc !

En introduisa | Hi Malek,    Selon votre capture d'écran, c'est une erreur http 500 provenant du serveur SSO de Tota | Ange,

Je vous remercie pour votre retour.
J’ai essayé de résoudre ce problème avec l’équipe IT d | Hi Malek,    Je ne pense pas que c’était le même sujet avec Axel ou Simon. (Ont-ils quitté TotalEner | Bonjour Ange,

Oui, Simon COLLE ancien membre de notre équipe a quitté TotalEnergies.
D’autre par | Bonjour Malek,     Merci de votre réponse.  Je vous proprose de me rejoindre sur Teams aujourd'hui à | Ange,

Oui, ça me convient merci
A toute à l’heure

De : Ange Abou  | Hi all,    Le problème est résolu. Il s'agissait juste d'utiliser l'exécutable depuis le terminal de"
6269,101037953612.0,2,Fwd: Renouvellement Licence Cintoo,"Billing, Purchase Order","Hi Simon,     Invoice sent.  Orion updated :     Follow up Sales updated too.  Kind regards,  Cécile"
6268,101037953612.0,2,New customer order Uze AG (Aebi & Vincent Architekten) 500 scans CSD only,Billing,"Hi Petra,     Invoice sent.     Orion updated :    Follow up sales updated too.  Kind regards,  Céci"
6267,101037953612.0,2,Fwd: [External]RE: Cintoo Account Exp 3/20,Billing,"Jason DiSalvo      Hello,     I dont' know wjhat happened - I have recanceled their subscription and"
6266,101037953612.0,2,FW: Ark-byroo Cintoo subscription,Billing,Hello     Invoice sent  Follow-up sales & Orion updated
6265,101021676703.0,2,Closing Cintoo Account,"Subscription cancellation, Sales","Hi Judah,    Adding Jason here, he will follow up with you about your inquiry.     Best regards,    "
6264,101021676713.0,2,RE: [EXTERNAL] Rivian Cintoo site re-activated,,"Sorry for the previous mass mail - Caroline please acknowledge receipt if you could.

 | Hi Milos,    Thanks for reaching out. Can you provide your tenant ID for azure entra and we will pro | Hi Steven,

I sent you our tenant ID in a private email.

Best,
Milos.

MILOS MANCIC
IAM Eng | Hi Milos,    Received. I will forward this to Thomas who was also on our call last week. I will keep | Customer confirmed SSO test link and SSO has just been enabled for all @rivian.com users in the defa"
6263,101037953612.0,2,FW: Cintoo: Your plan Meridian Plan (Revisia) will expire in 60 days' time,,"Simon Shaw      Hello,     invoice sent. follow-up sales & Orion adjusted"
6262,101102656450.0,2,LafargeHolcim PO 4501866701 Vendor 3037308,,"Hi Luis,     Could you please confirm the username on Orion ?     Is it this one :          Could yo | Hi Caroline,
Please process the attached PO.

Client: Lafarge
Type: New client
Amount: USD 2,25 | Hi Luis,     Invoice sent.  Orion updated, see below :       Follow up Sales updated too.  SSO Jira  | Luis Graterol      If you haven't already, could you please forward the following SSO documentation  | Hi Luis,  Do you have an update from the customer? Please let us know.  Thanks,  | Luis Graterol Salomon Mayengue Just checking to see the status of the ticket to see if we have any u | Hi Brayan.,  Regarding the SSO setup, could you please forward this guide  SSO implementation for La"
6261,101026576803.0,2,Project Moved from one count to another / Issues with Panos viewing,Cintoo Cloud,"Martial Marchesseau Thomas Corvazier Olivier Beltrando The copy of the project to another account ha | João-Carlos Pereira Fialho I'm looking at it | Thomas Corvazier Martial Marchesseau Olivier Beltrando I gave you access to the project https://aec. | @João, how to know if this has been caused by the move of the project? Do the images themselves have | Leonardo Hidd Fonteles The original project has not this issues.  - Even in this project, when you s | João, yes talking to the team the problem comes from the fact that one of the tables of the database | João-Carlos Pereira Fialho Leonardo Hidd Fonteles we found the issue, the export/import missed some  | Salomon Mayengue fyi | Bonjour Simon,    Le souci a été détecté par nos équipes.  Il faudrait que vous supprimiez le projet | Bonjour, Hello,



Absent jusqu'au 27/05/2024, je prendrai connaissance de votre message à mon r | Olivier Beltrando Martial Marchesseau Thomas Corvazier Salomon Mayengue Je viens d'avoir le mail de  | João-Carlos Pereira Fialho ,  Thomas Corvazier imported the project successfully. Could you please r | Bonjour Simon,  ​   le projet vient d'être remis en place sur votre compte.  Pouvez vous nous confir | Bonjour, Hello,



Absent jusqu'au 27/05/2024, je prendrai connaissance de votre message à mon r | ﻿
Hello, I am out of office until 23rd April included
EQUANS Mail Disclaimer: https://www.equans.c"
6259,101021676710.0,2,Cintoo Cloud API,Cintoo API,"Hi Owen,  
   
   
   The API is accessible by any Cintoo user, you can check the documentation clic | Leo, maybe the sales should give him access to the Sandbox also ... What do you think?"
6258,101021676705.0,2,Emails not received from @cintoo.com,,"Hi Matthew,  
   
   
   I'm escalating this to the engineering team for investigation.
   
   
     | @Salomon, @Thomas, can you please check if there's anything obvious why they don't receive emails fr | Hi Leonardo,

Thankyou for your swift response. Upon investigation I found a spelling mistake when"
6257,101021676710.0,2,Exporting STL files per scan,"Cintoo Cloud, Download Unified 3D Meshes","Hi Bob,  
   
   
   The only way to do this is using this workaround:
   
   
    
   
   
   1. Go | Thank you,

I wish there was a way to 'best-fit' align to cad model.

Regards,
Bob Squier
+1.2"
6255,,2,Important Banking Information,,This ticket is closed and merged into ticket 6256
6254,101053189816.0,2,Upload Problems,Cintoo Connect,"Hi Fellipe,    These are recap files that you are uploading can you provide the workflow you are usi | Thanks John! You can also ask the customer if they are able to open this same RCP file into Recap, g | Hi Fellipe,    Are you able to open the same RCP file into Recap?       John Tapia  Technical Suppor"
6253,101101504573.0,2,Upload error,"Cintoo Cloud, Import CAD Models","Hi Lisandro,    Try creating a new, empty work zone folder in the Cintoo project and move the DWG fi | OK. Now I'm trying that.
No, when I select the folder and put the 3D view on, that CAD file does no | Hi Lisandro,    Please invite me (czarnick@cintoo.com) to your project using these steps:  Adding Me | These are the images. One of AutoCAD and the other of Cintoo.

________________________________
D | Hi Lisandro,    Can you please share the DWG file with us? If it is too large to send as an attachem | @Nick, if you get your hands on the file and indeed is not working properly with Cintoo, please put  | Good morning Nicholas,
Ready. You are into the proyect. The name is ""PILETÓN"" and the wrong file is | Hi Lisandro,    Thanks for giving me access to the project. Are you able to send me the source 759-M | Hi. Ready. You can download the DWG file.
However, i will send it to you the DWG file into this ema | Hi Lisandro,      Thanks, I was able download the DWG. Our dev will investigate the DWG file.     I  | Omar Zerhouni Martial Marchesseau Xavier Lamorlette Leonardo Hidd Fonteles DWG from the customer for | Nicholas Czarnick      I can view it in Autodesk Counstruction Cloud       Intriguing part is that I | Hola Nicholas,

Espero que este mensaje te encuentre bien,

Pudiste chequear el error del archiv | Nicholas Czarnick I confirm the bug.      The (good) news is that I could load it through ACC correc | Xavier Lamorlette Can you check the file ? I find it weird it s working in 3Dscript but not in Cinto | Lucas Chamberlaim Were you able to test a workflow for re-formatting the geometry in the DWG file? I | Buen día Nicholas,
Espero que te encuentres bien..
Pudiste ingresar a ver cuál puede ser el proble | Hi Lisandro,   ​   I did my tests yesterday with the client's DWG file and I believe I discovered wh"
6252,101053189816.0,2,Delete Project,"Cintoo Cloud, Projects","Hi Drew,    In the My Projects section, you can view all active projects and then delete them.       | Thanks, I got it. The problem was that under Active Projects, it was set to “map” view instead of “l | @Martial, indeed, some options, such as delete project, don't appear in the map view. To be included"
6251,101093299571.0,1,.STEP file import issues (AGCO Corp),"Cintoo Cloud, Import CAD Models, STEP","Martial Marchesseau Omar Zerhouni Xavier Lamorlette Issues importing .step file from local disk. Lin | Hi @Kris Atkinson<mailto:kris.atkinson@cintoo.com>, I will give it a look.

The problem of Color i | Kris Atkinson can we have the JT file equivalent of the step file ? | Omar Zerhouni let me request the file. | Kris Atkinson I confirm the bug    Can user write us an email to authorize us to share the file with | certainly i will request this now.      please see link that includes additional information as well | Permission granted to share the files with dassault | Salomon Mayengue fyi | Thanks Kris, I rise an issue for Spatial | @Kris, @Omar, note also that the dark gray color we see on the Cintoo viewer is because de normals a | thank you Leo, appreciate the comment.      I have a session with the customer next week (Thursday), | Kris Atkinson The response of spatial is quite complexe. For this specific model, we have to deactiv | Just to add some additional information here. Customer provided permission for me to upload the mode | customer added that the images whilst are much improved do show some colour difference to the origin | customer discussions are ongoing and according to AGCO this is not a show stopper as they evaluate t | Kris Atkinson Wanted to check on the status of the ticket as it has been open for 2 months now  | John Tapia my understanding was that this is still a problem for the customer and that it is in rela | John Tapia The bug has been transmitted to Spatial.      However, we are changing to another library"
6248,,2,FW: Cintoo: Your plan CSD + BCM Plan will expire in 3 days' time,,"Hi Simon,     Thanks - FYI, this invoice has been paid.     Cheers,     Caro"
6247,101037953612.0,2,PO038584,Billing,"Thanks Komal,

We will process your PO shortly, I have sent the confirmation to your end customer. | Hi Daniel,     We can't process with the PO, Jon Edmunds needs to create his account on Orion first. | Hello,     Thanks Daniel,     Invoice sent.  Follow-up sales & Orion updated"
6246,,2,Re: Unable to upload e57 from new BLK360,,This ticket is closed and merged into ticket 6241
6245,101037953612.0,2,FW: Toyota North America sent a new Purchase Order 4513564155,Billing,"Hi Chuck,     Invoice sent  Follow-up sales & Ariba adjusted  ​   ​​      Cheers,  Caro"
6244,101021676705.0,3,RE: Creating Project Failure,"Cintoo Cloud, Projects","Nicholas Czarnick Steven Tan Leonardo Hidd Fonteles It seems there is another ticket with the same p | Hi Louis,    ​We have corrected the issue and would like for you to test to make sure it is working  | Amanda Nunn   Looping in Amanda cause she cannot view this ticket"
6243,101053189816.0,2,Importation de Fichires Scans retravaillés dans Geomagic 12,"Cintoo Connect, Cintoo Cloud, Import Structured Scans","@John, where did you got that list of files you say we support? We only support E57, RCP and FLS for | Hi Richard,    Pour les scanners statiques, notre plateforme prend actuellement en charge les format | Merci John :) | Bonjour John,

Merci pour votre support.
Je lis ci-dessous que je peux importer directement des f | Hi Richard,    Merci pour votre question. Actuellement, l'importation de fichiers au format *.ZFS n' | @Omar here's request for ZFS file import (Z+F scanners) | Leonardo Hidd Fonteles Creating the Discovery ticket.    I have noticed that all the formats present | Hi Richard,    Pourriez-vous nous indiquer si d'autres formats pour les nuages de points sont pris e | Hello,

I'm on field until April 29th.
I will answers you as soon as possble.

Regards
Richard"
6242,101053189816.0,2,Can not create a new project,"Cintoo Cloud, Projects","Hi Danielle,  ​   Can you provide some screenshots of the issue?  Also have you tried different regi | Hi John,

Thank you for the quick response. We usually select Automatic data hosting when creating | Nicholas Czarnick Steven Tan Any ideas? | @John, since we have 2 customers having this issue, I suspect we have a problem on our side.     @Th | Hi Danielle,    We have corrected the issue and would like for you to test and make sure it is funct | Hi John,

I was able to create the project with automatic data hosting.

Thank you so much for y"
6241,101053189816.0,2,Unable to upload e57 from new BLK360,"Cintoo Connect, BLK360","Hi Cesar,    Thank you for reaching out to us. It looks like the E57 file you attempted to upload —  | Tickets with IDs 6246 is merged into this ticket. | Merged from ticket 6246  
      Subject: Re: Unable to upload e57 from new BLK360  
      Descriptio | John Tapia What are the Export Options under ""E57 (as separate files) ? | Hi Cesar,    Can you let me know what are the export options in your application as shown here in th | Hi,
Can you please let me know what is the status of this issue?

Cheers,
Luis

 | Luis Graterol Lucas Chamberlaim Support requested the following information from the customer on Apr | Bom dia Srs.

Marcus
Na imagem do Cyclone é mostrado que o arquivo E57 foi exportado como uma uni | Caro Lucas,

Grato pelo retorno. Vou exportar da forma indicada.

Att,

Marcus Granadeiro

m | Hi Cesar,    I am checking back on this ticket and to see if there is anything you need more to be d"
6240,101053189816.0,1,FW: Old pricing link on our website,Cintoo Cloud,"John Tapia Can you please make the requested revision to the knowledge base article: Unlocking the B | Hi Rob,    Completed with the changes       John Tapia  Technical Support Manager  www.cintoo.com | Thank you.

Rob Rasnic

Chief Sales Officer

Cintoo US Inc.<file:///var/containers/Bundle/Appl"
6239,101053189816.0,2,Automatic conversion procet coordinates - global cooridnates,"Cintoo Cloud, Import Unstructured Scans, Align Scans and Models","Omar Zerhouni This is a customer feature request for automatic realignment of imported data based on | Hi Jaakko,    Thank you for your feature request to add automatic realignment of imported data in Ci"
6238,101102656450.0,2,FW: Reynolds & Litchfield 1000 Scan Plan Upgrade,,"Hi Daniel,    Invoice sent.  Follow up Sales and Orion updated.     Kind regards,  Cécile"
6236,101037953612.0,2,Strategy Engineering Renewal/Downgrade,Billing,"Hi Alex,     Invoice sent.  Follow up sales updated.  Could you please decrease the scan capacity in | Hey Caroline,

Let me follow up with Jeff on the past due invoice and the branding and get back to | Alex Galvan I am checking back on the ticket and to see if we can close the ticket  | Alex Galvan Cecile Thil What is the update to the ticket it has been open for 2 months | I will check with the customer on the data transfer. I know we were waiting on Chevron to setup thei | Alex Galvan I am checking again with the ticket to see if we need to close it  | Hi John,

Yes we can close this ticket.

Thank you!

Get Outlook for Android<https://aka.ms/AA"
6235,101037953612.0,2,FW: Invoice #USD-4040 is Approved to Pay by Rivian Automotive,Billing,"Hi Rob,     Everything has been done from our side.  We just have to wait for the payment.     Cheer"
6233,101102656450.0,2,FW: Cintoo: Your plan Plan #0002 will expire in 1 day's time,Billing,"Hi Rob,     On Orion the term of the plan #002 is April, 30 2024 : Do we have to close the plan earl | We can close the plan on April 30th.

As for the MRR we can close in May.

Thanks,


Rob Rasn"
6232,101102656450.0,2,FW: Ford Motor Company sent a new Purchase Order OR2417138,"Billing, Purchase Order","@Caroline Noel<mailto:caroline.noel@cintoo.com> - I have updated Orion accordingly.  Also we will ne | Hi Rob,     Please find enclosed the draft of the invoice for Ford Motor Company.  Can you confirm t | The SDK unlock and API access should be included on this invoice as we have consolidated everything  | Hello,     Invoice posted on Ariba  Follow-up sales updated.     Cheers,     Caro"
6231,101101147224.0,2,"Eddin, Tarek shared the folder ""e57 & Las Files"" with you",Cintoo Cloud,"Kris Atkinson this guy is from SKANSKA UK.  Can you ask him to send us the file to check: a) the ""gr | Hi Tarek,    thanks for your email, we have raised a support case for this.      Is it possible for  | Hi Kris,

Thanks for your prompt response. I have just shared a folder with you.

[cid:image001. | Hi Tarek,    Thank you tarek,      is it possible to add my email address rather then the support on | Hi Kris,

Done.

Many Thanks,

Tarek Taki Eddin
Digital Construction Coordinator



Skans | Tickets with IDs 6229 is merged into this ticket. | Merged from ticket 6229  
      Subject: Importing a Small Drone Survey  
      Description:  Hi, 
  | Hi Tarek,    Thanks for your patience.     Yes the reason that you are having difficult with importi | Hi Tarek,    In addition it is worth noting that our development team are working on the inclusion o | Hi Kris,

That's perfect. I will give it a try at some point today or tomorrow and let you know ho"
6230,101093299571.0,2,TR: Vue 3D Revit dans Cintoo Cloud,"Import Model, Cintoo Cloud","Hi João-Carlos Pereira Fialho,  We already have a request of this type. I have added the reference o | Bonjour Casimir,    Malheureusement pour le moment, il n'est toujours pas possible de choisir la vue"
6229,101101147224.0,2,Importing a Small Drone Survey,"Cintoo Connect, Import Drone Data",This ticket is closed and merged into ticket 6231
6227,101102656450.0,2,FW: Cintoo: Your payment for a Cintoo CSD subscription was successful,Billing,"Just checking to see if this has been resolved.


Rob Rasnic
Chief Sales Officer
[cid:image001. | Upgrading the trial will break the link with Stripe, so I would strongly recommend not doing that.   | Thanks Cyril! I’ll get in touch with him to set up a new plan.

To schedule a meeting click here<h | Okay can we please refund/cancel this purchase? They are going to buy again from the correct plan.
 | Hi Alex,     We refund 1573 $ to Manchacgroup.  We closed the Plan 002 on Orion, see below :    Best"
6222,101102656450.0,2,"4Ward Land Surveying - Renewal 500 + BCM"".",Billing,"Hi Jason,     Invoice sent.  Orion and Follow up sales updated.  Good receipt,  Cécile"
6221,101093299571.0,2,Cintoo Connect issue,Cintoo Connect,"@Omar, @Claire, can you check this please ? | Hi Luke,    I have scalated this issue to the engineering to check what's the issue. We get back to  | Leonardo Hidd Fonteles on it     Normally user should have had the following dialog, did the dialog  | Leonardo Hidd Fonteles I couldn't reproduce the bug. When I restart Cintoo Connect, the dialog infor | On the screenshot from the user, one can read in the status bar, at the bottom left of the window: “ | •• PROTECTED 関係者外秘

Hello Cintoo Support,

I am also having the same issue that Luke was having. | Leonardo Hidd Fonteles Can you Ask them about the pop up ? Did they receive it ? May bé their config | Hi Luke, hi Andrew,     We were not able to reproduce these issues. The engineering team have 3 ques | Thanks 0mar and Xavier for your time, I have forwarded your questions to the customers, lets see wha | •• PROTECTED 関係者外秘

Hello Leo,

Please see attached and below.


  1.  We do not receive the  | Leonardo Hidd Fonteles  Clearly the problem is the pop-up not being displayed. May be a configuratio | Same issue here https://cintoo.freshdesk.com/a/tickets/6351 | Any update on this ticket is there a Jira Ticket associated with this issue  | Leonardo Hidd Fonteles Do we have an ETA on this ticket it has open for 2 months do we have a Jira T | John Tapia, We are unable to reproduce the bug.     Is this bug really ""Medium"" priority ? The user  | Hi Luke,    Thank you for reporting this issue with Cintoo Connect. I understand that you are facing | •• PROTECTED 関係者外秘

Good morning John,

Yes the issue still exists. I actually encountered it ag | Seems the issue is till going anything we can do | John Tapia I am asked thé client, through Steven, to test with a previous version of Cintoo Connect, | Hi Luke,    Version of Cintoo connect  are you using. Have tried an older version. What level of urg | •• PROTECTED 関係者外秘

Hi Josh,

I am using version 2.10.0. I have not tried an older version.  Thi | Hi Luke,    just a test can use the older version and see the results        John Tapia  Technical S | •• PROTECTED 関係者外秘

Hi John,

Yes I can do that. Where would I get an install file for the old v | John Tapia   cintoo-connect-setup-2.6.1-1a7f.exe  | Hi Luke,    https://cintoo.sharepoint.com/:u:/s/Public/EaEYYX5eB-5DmCuXHDgeRNgBzADCrM04aS2D3LOBPMp5Y | •• PROTECTED 関係者外秘

Hi John,

I just tested with that older version of Connect and I was not pro | Hi Luke,    thanks for that information we will further look into the issue       John Tapia  Techni | FYI  | Leonardo Hidd Fonteles What should we do next on this issue as the ticket has been open for 2 months | John, I'm not aware if further investigation has been carried on. Omar is out today, coming back Wed"
6220,101021676710.0,2,FW: Falsche Anzeige auf Cintoo,"Cintoo Connect, Export Scans","Hi Jonas,    Apologies for this issue, we are escalating this to the engineering team for investigat | @Guillaume, very wierd what do you think about it? https://aec.cintoo.com/E272A3D38262B3A2D043 | 1. do we have access to other intensity in prod to validate the issue is only on the client data ; a | Kris Atkinson Can yo uask the customer the following: 1) what version of cintoo connect he is using  | Hi Jonas,    thank you for your support query in relation to the intensity values.      To allow the | Hi Kris

Danke für die Antwort. Wir haben das Update gemacht und nun funktioniert es. Vielen Dank"
6219,101102656450.0,2,"CIMA Add 2,000 + BCM",Billing,"Hi Jason,          The client wants to add 2000 scans to the 50000 CSD + BCM with a pro-rated from 4 | It was prorated starting the 12th

To Schedule a meeting click Here<https://d2y2WD04.na1.hs-sales- | 

To Schedule a meeting click Here<https://d2y2WD04.na1.hs-sales-engage.com/Ctc/GG+23284/d2y2WD04/ | Jason,     Invoice sent.  Orion and Follow up Sales updated.  Best Regards,  Cécile"
6218,101026576803.0,2,Issues in Cintoo cloud <=> BIM360/ACC,,"Hi Guido,    We have notified João about your message here in the support, he will contact you as so | Ich bin bis einschließlich 03.05.2024 außer Haus. Ihre Nachricht wird eventuell mit Verzögerung gele | Hi Guido,    Yes, today it is already possible to create an issue in Cintoo and push it to your proj"
6216,101026576803.0,2,RE: Registering to the Sandbox / Cintoo Cloud API,"Cintoo API, Sandbox","@Nick, Steve, who's following up with KBR? Can you take this for the setup of the sandbox? | Leonardo Hidd Fonteles   Spoke to Joao. He will add them to the sandbox.  | Hi Lei,    Sorry for late reply,     the trial account for Sandbox has been created,  you should hav | @João, I see you have set the end date to may 2025, did you do it in purpose or because you could no"
6215,101021676710.0,2,Feature request - Local & Site-Level coordinates,"Cintoo Cloud, Import CAD Models","Hi Mark,    If you have a Revit format model and BIM360/ACC, you can chose to import it using the su | Hi Leonardo,

We don't use Revit, but I guess we could use Navisworks to shift the design
content | Omar Zerhouni Feature Request   | Thanks Mark for the feedback. We will submit your request to the product team, check what's possible | Thanks,
Mark

Mark Foster

Managing Director, Revisia Ltd
+64 9 390 4310 <+64+9+390+4310> | +6 | Dominique Pouliquen, Matthew Stachoni what you think about this use case/feature request? | I am checking to see if Dominique or Matthew has anything new to add on this ticket  | Leonardo Hidd Fonteles Ange Abou This ticket is a feature request and wanted to see if we can close  | Hi Mark,
    
    
     
    
    
    Plans on our side are to rebuild the alignment tool and along"
6214,,2,FW: New invoice from Cintoo US Inc. #USD-4164,Billing,"Hi Alex,     You just want that I add the Purchase Order reference : BCS0236-366 on the invoice ?  T | Hi Alex,     Invoice sent.  Follow up Sales updated.     Good receipt,  Best regards,  Cécile"
6213,101021676703.0,2,CINTOO Login - MFA,"Cintoo Cloud, SSO","Hi Rob,    We are aware of sign in issues for Tetra Tech Cintoo users. Single Sign On was recently i | Thanks, I’ll escalate this with our Azure team.

 | Hi Rob,    When Tetra Tech Azure team confirms both https://tetratech.cintoo.cloud/login/oauthcb and | Looks like we’re back in, thanks!

"
6212,101021676710.0,2,Re: Problème export RCP,"Cintoo Connect, Export Scans","Can you check the following RCP export issue for customer Simon OLIVE
simon.olive@totalenergies.com | Bonjour Simon,    Peux tu me donner accès au projet (joao.fialho@cintoo.com) que je vérifie de mon c | Bonjour João,

Tout le groupe Cintoo a été ajouté au projet Oleum La Mède.

Cordialement,

De  | João-Carlos Pereira Fialho Leonardo Hidd Fonteles I am checking on the status of the ticket  | João-Carlos Pereira Fialho Just checking again on the ticket  | Leonardo Hidd Fonteles What should we do with the ticket since it has been open for 2 months | João-Carlos Pereira Fialho Just checking back again on this ticket  | John, yes, you can close this one, they will open again if necessary "
